activity_id,assay_chembl_id,document_chembl_id,molecule_chembl_id,standard_type,standard_units,standard_value,type,units,value
341378,CHEMBL676067,CHEMBL1136802,CHEMBL56543,IC50,nM,501.19,pIC50,,6.3
342252,CHEMBL679946,CHEMBL1127568,CHEMBL309116,IC50,nM,20000.0,IC50,uM,20.0
342254,CHEMBL679946,CHEMBL1127568,CHEMBL63575,IC50,nM,20000.0,IC50,uM,20.0
342459,CHEMBL676067,CHEMBL1136802,CHEMBL56132,IC50,nM,14125.38,pIC50,,4.85
342461,CHEMBL676067,CHEMBL1136802,CHEMBL120564,IC50,nM,87096.36,pIC50,,4.06
342469,CHEMBL677388,CHEMBL1135889,CHEMBL1202478,IC50,nM,100.0,IC50,uM,0.1
342471,CHEMBL691873,CHEMBL1135889,CHEMBL1202478,IC50,nM,90.0,IC50,uM,0.09
343342,CHEMBL679946,CHEMBL1127568,CHEMBL66718,IC50,nM,20000.0,IC50,uM,20.0
343638,CHEMBL676067,CHEMBL1136802,CHEMBL432428,IC50,nM,645.65,pIC50,,6.19
343640,CHEMBL676067,CHEMBL1136802,CHEMBL141175,IC50,nM,15848.93,pIC50,,4.8
344684,CHEMBL679946,CHEMBL1127568,CHEMBL69585,IC50,nM,20000.0,IC50,uM,20.0
345343,CHEMBL677206,CHEMBL1129933,CHEMBL336410,IC50,nM,7000.0,IC50,uM,7.0
346047,CHEMBL674029,CHEMBL1127050,CHEMBL419280,IC50,nM,100000.0,IC50,uM,100.0
346388,CHEMBL680028,CHEMBL1145020,CHEMBL113996,IC50,nM,13570.0,IC50,uM,13.57
347377,CHEMBL674029,CHEMBL1127050,CHEMBL80001,IC50,nM,100000.0,IC50,uM,100.0
347654,CHEMBL680028,CHEMBL1145020,CHEMBL607707,IC50,nM,80.0,IC50,uM,0.08
347659,CHEMBL680028,CHEMBL1145020,CHEMBL325156,IC50,nM,4840.0,IC50,uM,4.84
348082,CHEMBL677387,CHEMBL1130246,CHEMBL126384,IC50,nM,5.4,IC50,nM,5.4
348083,CHEMBL677387,CHEMBL1130246,CHEMBL129509,IC50,nM,9.3,IC50,nM,9.3
348688,CHEMBL674029,CHEMBL1127050,CHEMBL83390,IC50,nM,100000.0,IC50,uM,100.0
348689,CHEMBL674029,CHEMBL1127050,CHEMBL84512,IC50,nM,100000.0,IC50,uM,100.0
350016,CHEMBL674029,CHEMBL1127050,CHEMBL314029,IC50,nM,100000.0,IC50,uM,100.0
350018,CHEMBL674029,CHEMBL1127050,CHEMBL420400,IC50,nM,100000.0,IC50,uM,100.0
351746,CHEMBL680028,CHEMBL1145020,CHEMBL114593,IC50,nM,960.0,IC50,uM,0.96
352154,CHEMBL677387,CHEMBL1130246,CHEMBL126137,IC50,nM,40.0,IC50,nM,40.0
352155,CHEMBL677387,CHEMBL1130246,CHEMBL128987,IC50,nM,3.2,IC50,nM,3.2
352156,CHEMBL673451,CHEMBL1130246,CHEMBL128987,IC50,nM,36.0,IC50,nM,36.0
352157,CHEMBL677387,CHEMBL1130246,CHEMBL435993,IC50,nM,9.2,IC50,nM,9.2
352158,CHEMBL677386,CHEMBL1130246,CHEMBL340898,IC50,nM,3.5,IC50,nM,3.5
352160,CHEMBL677387,CHEMBL1130246,CHEMBL338215,IC50,nM,5.4,IC50,nM,5.4
352831,CHEMBL674029,CHEMBL1127050,CHEMBL309765,IC50,nM,6700.0,IC50,uM,6.7
352832,CHEMBL674029,CHEMBL1127050,CHEMBL309716,IC50,nM,100000.0,IC50,uM,100.0
352834,CHEMBL674029,CHEMBL1127050,CHEMBL311811,IC50,nM,100000.0,IC50,uM,100.0
353187,CHEMBL680028,CHEMBL1145020,CHEMBL116857,IC50,nM,2880.0,IC50,uM,2.88
353631,CHEMBL677387,CHEMBL1130246,CHEMBL340484,IC50,nM,4.9,IC50,nM,4.9
353632,CHEMBL677387,CHEMBL1130246,CHEMBL127058,IC50,nM,1.2,IC50,nM,1.2
353633,CHEMBL677387,CHEMBL1130246,CHEMBL128467,IC50,nM,1.4,IC50,nM,1.4
353634,CHEMBL673451,CHEMBL1130246,CHEMBL128467,IC50,nM,1000.0,IC50,nM,1000.0
354789,CHEMBL680028,CHEMBL1145020,CHEMBL326280,IC50,nM,790.0,IC50,uM,0.79
354794,CHEMBL680028,CHEMBL1145020,CHEMBL117326,IC50,nM,560.0,IC50,uM,0.56
355097,CHEMBL677387,CHEMBL1130246,CHEMBL340700,IC50,nM,3.2,IC50,nM,3.2
355098,CHEMBL677386,CHEMBL1130246,CHEMBL338114,IC50,nM,0.91,IC50,nM,0.91
355813,CHEMBL674029,CHEMBL1127050,CHEMBL312402,IC50,nM,100000.0,IC50,uM,100.0
356555,CHEMBL677387,CHEMBL1130246,CHEMBL341319,IC50,nM,2.6,IC50,nM,2.6
356556,CHEMBL677387,CHEMBL1130246,CHEMBL340508,IC50,nM,7.1,IC50,nM,7.1
357623,CHEMBL680028,CHEMBL1145020,CHEMBL115440,IC50,nM,930.0,IC50,uM,0.93
357628,CHEMBL680028,CHEMBL1145020,CHEMBL29197,IC50,nM,70.0,IC50,uM,0.07
358710,CHEMBL674029,CHEMBL1127050,CHEMBL84513,IC50,nM,6700.0,IC50,uM,6.7
358711,CHEMBL674029,CHEMBL1127050,CHEMBL83559,IC50,nM,8400.0,IC50,uM,8.4
358713,CHEMBL674029,CHEMBL1127050,CHEMBL79531,IC50,nM,18000.0,IC50,uM,18.0
359002,CHEMBL680028,CHEMBL1145020,CHEMBL285063,IC50,nM,2.0,IC50,uM,0.002
359320,CHEMBL677387,CHEMBL1130246,CHEMBL127041,IC50,nM,0.24,IC50,nM,0.24
360083,CHEMBL674029,CHEMBL1127050,CHEMBL79808,IC50,nM,21000.0,IC50,uM,21.0
360394,CHEMBL680028,CHEMBL1145020,CHEMBL116012,IC50,nM,10320.0,IC50,uM,10.32
360720,CHEMBL677386,CHEMBL1130246,CHEMBL126791,IC50,nM,0.51,IC50,nM,0.51
360722,CHEMBL677387,CHEMBL1130246,CHEMBL54400,IC50,nM,0.13,IC50,nM,0.13
360723,CHEMBL673451,CHEMBL1130246,CHEMBL54400,IC50,nM,16.0,IC50,nM,16.0
360724,CHEMBL677387,CHEMBL1130246,CHEMBL128468,IC50,nM,0.28,IC50,nM,0.28
360725,CHEMBL677387,CHEMBL1130246,CHEMBL341522,IC50,nM,5.6,IC50,nM,5.6
361249,CHEMBL674029,CHEMBL1127050,CHEMBL83837,IC50,nM,33000.0,IC50,uM,33.0
361550,CHEMBL680028,CHEMBL1145020,CHEMBL111038,IC50,nM,190.0,IC50,uM,0.19
361830,CHEMBL677387,CHEMBL1130246,CHEMBL339416,IC50,nM,0.74,IC50,nM,0.74
361831,CHEMBL673451,CHEMBL1130246,CHEMBL339416,IC50,nM,1000.0,IC50,nM,1000.0
362610,CHEMBL674029,CHEMBL1127050,CHEMBL47986,IC50,nM,2000.0,IC50,uM,2.0
362975,CHEMBL680028,CHEMBL1145020,CHEMBL30973,IC50,nM,310.0,IC50,uM,0.31
362980,CHEMBL680028,CHEMBL1145020,CHEMBL113985,IC50,nM,5390.0,IC50,uM,5.39
364250,CHEMBL674029,CHEMBL1127050,CHEMBL419650,IC50,nM,10200.0,IC50,uM,10.2
364684,CHEMBL680028,CHEMBL1145020,CHEMBL327023,IC50,nM,550.0,IC50,uM,0.55
365714,CHEMBL674029,CHEMBL1127050,CHEMBL314416,IC50,nM,100000.0,IC50,uM,100.0
365715,CHEMBL674029,CHEMBL1127050,CHEMBL311609,IC50,nM,100000.0,IC50,uM,100.0
366137,CHEMBL680028,CHEMBL1145020,CHEMBL115187,IC50,nM,130.0,IC50,uM,0.13
366476,CHEMBL677387,CHEMBL1130246,CHEMBL92812,IC50,nM,4.0,IC50,nM,4.0
367209,CHEMBL674029,CHEMBL1127050,CHEMBL309276,IC50,nM,1620.0,IC50,uM,1.62
367543,CHEMBL680028,CHEMBL1145020,CHEMBL283682,IC50,nM,940.0,IC50,uM,0.94
367856,CHEMBL677387,CHEMBL1130246,CHEMBL129825,IC50,nM,7.4,IC50,nM,7.4
367865,CHEMBL677387,CHEMBL1130246,CHEMBL420624,IC50,nM,0.1,IC50,nM,0.1
368896,CHEMBL680028,CHEMBL1145020,CHEMBL332497,IC50,nM,3830.0,IC50,uM,3.83
