molecule_chembl_id,canonical_smiles,prediction,confidence,mean_probability_active,uncertainty_std
CHEMBL77724,COc1cc(C=C(C#N)C#N)cc(OC)c1,Inactive,98.93,0.0107,0.0068
CHEMBL338935,CO[C@H]1[C@@H](N(C)C(=O)CN)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,Inactive,70.47,0.2953,0.023
CHEMBL309276,O=C(O)CCC1C(S)=Nc2ccccc21,Inactive,98.93,0.0107,0.0025
CHEMBL8000,O=C1c2cc(Nc3ccccc3)c(Nc3ccccc3)cc2C(=O)N1c1ccccc1,Inactive,91.47,0.0853,0.0201
CHEMBL126903,CN(CC(=O)O)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,Active,93.4,0.934,0.0098
CHEMBL341319,CN(CCO)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,Active,99.67,0.9967,0.0021
CHEMBL3092298,O=C(Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1)N1CCC(F)(F)CC1,Inactive,94.33,0.0567,0.0153
CHEMBL319620,O=C(O)c1cc(NCc2cc(O)ccc2O)ccc1O,Inactive,89.33,0.1067,0.0092
CHEMBL93464,C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,Active,95.33,0.9533,0.0073
CHEMBL263528,NC(=O)CN1CCC(n2cc(-c3cccc(O)c3)c3c(N)ncnc32)CC1,Inactive,75.0,0.25,0.0226
CHEMBL78174,N#CC(C#N)=Cc1ccc(C(=O)O)cc1,Inactive,96.93,0.0307,0.0088
CHEMBL2032379,C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N5CCOCC5)cc4OC)nc32)c1,Active,99.27,0.9927,0.0049
CHEMBL67057,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,Active,84.6,0.846,0.0169
